Case,CL,CD,Cp_1,Cp_2,Cp_3,Cp_4,Cp_5,Cp_6,Cp_7,Cp_8,Cp_9
AOA_-20_GUST_20,0.6791914256100303,0.4317807281852941,-1.1761541754723932,-0.734480081695895,-0.5043253267419765,-0.37020936605480537,0.8377899939846557,1.306236618274394,0.6339414913896528,0.14867730526104517,-0.3044022574314688
AOA_-20_GUST_20,0.609804366043999,0.4014319203111368,-1.0757614377608016,-0.6943825496738449,-0.4717889681229569,-0.344247178754049,0.8634582664296939,1.2981006792632108,0.6174050827440537,0.13611907322912753,-0.3118493286554057
AOA_-20_GUST_20,0.6136711921983826,0.4034753056148821,-1.2323348262258724,-0.9219558379764047,-0.6715029786983762,-0.504342860442718,0.7360839467622492,1.1607674500406975,0.48147015548179617,-0.006553727847402458,-0.4837141188596914
AOA_-20_GUST_20,0.48464619029542017,0.33672787705345114,-0.8487998852831001,-0.6739079342278529,-0.46129799563795787,-0.3377299662786704,0.8912879940220352,1.2813883920681137,0.5915911268235678,0.12153439304403635,-0.3086980718737027
AOA_-20_GUST_20,0.4261976749809154,0.3029057764928624,-0.7461540232807637,-0.6776993520753957,-0.4678845548067477,-0.3494824068452075,0.8962172317328623,1.2736563368232896,0.5796286403154359,0.11424167285430098,-0.3035863922368397
AOA_-20_GUST_20,0.3991247682265493,0.2793032356550889,-0.7069630604223007,-0.70524788842157,-0.49144664951177874,-0.37423001978004333,0.8970114999238281,1.2716754967761532,0.5771826748131124,0.11980455812137879,-0.2806539980866761
AOA_-20_GUST_20,0.4072128560888433,0.268222624550773,-0.7502863878534017,-0.7530902386743334,-0.5352228898464619,-0.41645437116621387,0.8904214040092245,1.2718786444937384,0.5791702659333614,0.1312518426013835,-0.2475217175974898
AOA_-20_GUST_20,0.5361820882136205,0.31104428014777236,-1.1612692646177383,-1.0735124464871602,-0.8128870896551387,-0.6474878734990638,0.7286540621893385,1.142868050955645,0.4632464807213166,0.01823420829168852,-0.3679156361063925
AOA_-20_GUST_20,0.5489626037380755,0.2965056629477489,-1.0685080163682203,-0.882782938335177,-0.65995645819333,-0.5392803174147884,0.8620117984027081,1.285995057631139,0.6009788860148989,0.17525483820252313,-0.14706411396005592
AOA_-20_GUST_20,0.6747302503844551,0.33308122346908126,-1.2384243978363816,-0.9495579069508153,-0.733171570407829,-0.6133332846317703,0.8440809187569553,1.3038866221615883,0.6262007140436116,0.21364364104220848,-0.07462804739098242
AOA_-20_GUST_20,0.8279166729990052,0.3805822839041954,-1.3583009947216673,-1.0166461791572359,-0.8137378794951159,-0.6947921697936559,0.824962620592415,1.3322033185003697,0.6657384254185319,0.2683473174638711,0.016485557976617937
AOA_-20_GUST_20,0.983855844430351,0.43113405419929957,-1.4383063422052298,-1.0886925872802675,-0.9054660177788718,-0.7858370634310565,0.7988024690474612,1.3621593073537954,0.7071306748533444,0.32175913999592326,0.09978488664260814
AOA_-20_GUST_20,1.1081919126476725,0.4716975629326006,-1.4716164943528869,-1.1379912102164726,-0.9785423073968001,-0.8656271264924001,0.780889191592718,1.4041154435017418,0.7569125979207638,0.37622968506634935,0.1742164265862872
AOA_-20_GUST_20,1.1777177961914693,0.4987230548169325,-1.4823548097432404,-1.2000491320508122,-1.0666199448406326,-0.9517323623341527,0.7466478118158651,1.4221853557191784,0.7772864401815028,0.3896623738968785,0.17628221615484102
AOA_-20_GUST_20,1.1443274720542054,0.4930938575894735,-1.4022403742203904,-1.195386304301382,-1.0998670103085368,-0.9928881063010128,0.7311687044169308,1.4392359810177864,0.7814933526999245,0.3723383431754351,0.12391252439960392
AOA_-20_GUST_20,1.0432720913459308,0.4691418361324917,-1.2861492267847745,-1.1663663968521862,-1.097829934161925,-0.9947065619297912,0.7360511642331299,1.4529500214999163,0.7704597105881478,0.3300862778894647,0.025056331989510676
AOA_-20_GUST_20,0.9288674137424909,0.44293512088766707,-1.1958544203796422,-1.140666219311742,-1.0674984380130166,-0.9602932595009306,0.7607007367913744,1.4594152251331152,0.7456567849812324,0.2743429878865563,-0.08534052091237304
AOA_-20_GUST_20,0.7851765896479411,0.39768818523645644,-0.9395551356893176,-0.9290612761514897,-0.834981680291527,-0.7547409675340107,0.9286455822580242,1.5800119414234102,0.827394938976091,0.3395154016839985,-0.027389522459116255
AOA_-20_GUST_20,0.815834880096976,0.4244347180608745,-1.1941615276412518,-1.1827450505606114,-0.9915152124380383,-0.8598638628980029,0.8373640934805779,1.4704293062221476,0.7036515295579184,0.1966205426796182,-0.2167645977006793
AOA_-20_GUST_20,0.7869424747487539,0.4163645172673977,-1.2149472445613572,-1.1975397050990237,-0.9428603854083902,-0.8120655115651912,0.876109384587666,1.4803861087902936,0.6929107686967177,0.1782391610403953,-0.2357121869934311
AOA_-20_GUST_20,0.7941846027790743,0.4167983302314841,-1.279587532682177,-1.2233124919127045,-0.9210544285866087,-0.7885604325886033,0.9010187726347093,1.491092994145566,0.6927411854474592,0.1773713677155228,-0.22662408506353676
AOA_-20_GUST_20,0.8320991037452253,0.42539840351817143,-1.3927435723179291,-1.2512433838881503,-0.9238721496796772,-0.7897178668129672,0.9095226552399027,1.4998309412097852,0.6984384315425359,0.18628685647861454,-0.20028325836622357
AOA_-20_GUST_20,0.9924102580924837,0.48635656477563843,-1.7836745234850622,-1.4977853078139491,-1.1324736719998152,-0.9441208184603199,0.8047873301467132,1.4316706046684753,0.6456626342821785,0.1300419010216327,-0.2715388224039035
AOA_-20_GUST_20,1.0315849457851678,0.4815687895479694,-1.7288685537621962,-1.33472753793769,-1.023148026907984,-0.8762807654051599,0.869107281005822,1.516976196235276,0.7389892959165555,0.24746767514358553,-0.08270453261567179
AOA_-20_GUST_20,1.1531308870133468,0.5147838241537871,-1.8359884346834108,-1.3680266506475407,-1.0890656067356341,-0.9443443588577728,0.827771826034918,1.5274809788453632,0.7720387158053998,0.29575610048746137,0.002185893866182514
AOA_-20_GUST_20,1.285955856883236,0.5537425729153953,-1.898359079607468,-1.429980223343947,-1.187152712669094,-1.0371377704710765,0.7660936322895656,1.5345324583959328,0.8115963936991233,0.3505863755794185,0.08212466063204424
AOA_-20_GUST_20,1.358320284357973,0.575435628517237,-1.8753666048583302,-1.4823440687976006,-1.2811180844446302,-1.1305877402903508,0.6951302668404293,1.5310012969999534,0.8364186707113921,0.3790162350667797,0.11052680292987052
AOA_-20_GUST_20,1.2831489664020055,0.5431280950378097,-1.570440330754019,-1.313719641925215,-1.1841411282573442,-1.068398702449565,0.7370788351340134,1.6131394230481009,0.9304057872777377,0.47005723242374164,0.19890776598007004
AOA_-20_GUST_20,1.2424413722578453,0.5445498705819893,-1.65682769425003,-1.5081819421323455,-1.3803257999677554,-1.2260975663611544,0.5765146365383971,1.4814951570433792,0.8015031956756438,0.31107067157922,-0.040823828554880474
AOA_-20_GUST_20,1.0936389884217972,0.5038587862576352,-1.5186430918996023,-1.459998127272653,-1.3299846982854364,-1.1708314982293835,0.5841734578410329,1.4657519863589465,0.7648445379959182,0.2465680778143215,-0.1584883737744251
AOA_-20_GUST_20,0.9985698782185564,0.4820061774457693,-1.4697824234171912,-1.448117928079025,-1.2691843090711177,-1.0965571206963904,0.6168720064897736,1.4510789136564037,0.728432683788694,0.1949246754477842,-0.23894778960251858
AOA_-20_GUST_20,0.9406119811882308,0.47200373170939836,-1.4877659956416407,-1.462218670560524,-1.1982320426000588,-1.018447339718344,0.6629378876491974,1.4398548106022888,0.6944455997189172,0.15180487570836332,-0.29518686388660476
AOA_-20_GUST_20,0.8735966172090995,0.4525493825210353,-1.4384335909950592,-1.3698174375944088,-1.022062167188459,-0.8586684642418132,0.7916952292983488,1.5018254758428293,0.7261287028895409,0.17994840129514172,-0.2543732481242975
AOA_-20_GUST_20,0.895161573540811,0.4664769528859301,-1.6649683036960516,-1.5065730759811264,-1.0814230723212928,-0.8953497464668599,0.7628265577726413,1.4313243665813387,0.6434674972927192,0.094175057557675,-0.34945468080032277
AOA_-20_GUST_20,0.8750969178032232,0.4570840207505133,-1.7514706751254792,-1.4699123211226963,-1.0264989660794488,-0.8481293739812172,0.8119385414881285,1.4374352718050303,0.6279336431323819,0.08031502889826994,-0.3460498709702082
AOA_-20_GUST_20,0.9005736937776293,0.4616033621393063,-1.8798516213334229,-1.4412507521875926,-1.004027153396403,-0.825873886241479,0.8545382186059743,1.4520221748753677,0.6279583469613077,0.08873950740867578,-0.31322326430715375
AOA_-20_GUST_20,0.9716375915020737,0.48106683916064047,-2.0001532016783705,-1.4377504376138341,-1.0178538211506916,-0.836946242808871,0.8817085147935908,1.4723064737400566,0.6418721265712986,0.11591932714102399,-0.2547547880509823
AOA_-20_GUST_20,1.0802362350883767,0.5117206053405702,-2.0805115766410127,-1.4588862980115347,-1.0600875186855536,-0.8819155943471485,0.8945207511121487,1.5025381691881572,0.6715231702107772,0.16213768027245348,-0.16641005785515978
AOA_-20_GUST_20,1.214528235904882,0.551405979758686,-2.106020755036529,-1.5081953407284563,-1.144540708031175,-0.9652937594697425,0.8862282805848912,1.5359919008086858,0.7119062380593049,0.2212164089064994,-0.0714945451198671
AOA_-20_GUST_20,1.3073249584888555,0.5781332318829292,-2.049722711840285,-1.5356866356078678,-1.2235233403375767,-1.0554118633754255,0.8721130061353477,1.5794296841235387,0.757064290940243,0.2730290058312355,0.002703883361076548
AOA_-20_GUST_20,1.320895023528992,0.5820299960751635,-1.9221929250208556,-1.5306302408975623,-1.2878051770493868,-1.1326374477658625,0.8573421160507566,1.6234636027257003,0.7931652005044518,0.299401434462221,0.018958888254666892
AOA_-20_GUST_20,1.2395094161818305,0.5610592164519131,-1.7753898490490023,-1.5086933441621464,-1.3333455347375724,-1.1867896874464692,0.8472288278371268,1.660691654021483,0.80234894395877,0.27339180663218954,-0.058300331851023304
AOA_-20_GUST_20,1.1087591907088428,0.5233889433016756,-1.4924461286244242,-1.334377839327315,-1.2164321565342435,-1.0866559224067873,0.9593688495295697,1.7996451263697926,0.9032221276609623,0.3372451594010616,-0.03938884113756752
AOA_-20_GUST_20,1.0564983321716854,0.5271693351409226,-1.622068012154583,-1.505603940261375,-1.3596733135157788,-1.1974168700914594,0.8757215632785265,1.7453280975719474,0.7969176065220068,0.16699132399933378,-0.28647250040055544
AOA_-20_GUST_20,1.0386346981860708,0.5274325496092668,-1.5930955220145193,-1.526585554614503,-1.3345628522939283,-1.1835679695407344,0.9202788316743692,1.8219023517425106,0.8278427616591291,0.14522367921821294,-0.32322380615654506
AOA_-20_GUST_20,1.0777254586819904,0.5433147568035123,-1.6449889400641315,-1.619106006995886,-1.358697059270616,-1.2082925656141765,0.9203975394585904,1.8904555723914664,0.8769627879018748,0.13282294612026596,-0.35330069030819555
AOA_-20_GUST_20,1.1354312629906598,0.5622919541491423,-1.7349471907525666,-1.7233791199194348,-1.4101677651061433,-1.2536461415713458,0.876141495943708,1.9639436643452957,0.9614879891173453,0.1365203132147185,-0.3829028584329858
AOA_-20_GUST_20,1.2273016878530056,0.5868631261625341,-1.8712706561813615,-1.8150194210330635,-1.4747913846976823,-1.3028730759643001,0.7593490720556039,2.0355347933775274,1.1053134586481306,0.2091639067958885,-0.3570141724439423
AOA_-20_GUST_20,1.402003993678413,0.6435018284568949,-2.150507397193289,-1.990796334954355,-1.6324530302931912,-1.3984691813599919,0.5489831237355576,2.0658035260067473,1.2706629465385055,0.3171003107138169,-0.35535720200413334
AOA_-20_GUST_20,1.6206048437406768,0.7065867757381126,-2.3982047170362897,-2.117887172349845,-1.752337889192962,-1.4688657460942576,0.3109257343826701,2.070375310277467,1.4698953555187662,0.5347917962463951,-0.2641766721678705
AOA_-20_GUST_20,1.9317767848954652,0.7988920852297873,-2.6790868140192154,-2.2895002568142404,-1.9012961623181865,-1.557809782196745,0.034922191090108495,2.031770356254653,1.645194443494658,0.8343461692600709,-0.08802796056443052
AOA_-20_GUST_20,2.2813946177927202,0.9014286349044056,-2.9360686644715552,-2.4733467676646335,-2.053048216191162,-1.6783526306700904,-0.25053509309806127,1.9520568711478439,1.7483966964464104,1.120923770125601,0.17332330837744958
AOA_-20_GUST_20,2.6350706696300006,0.999499112940331,-3.0109807896979177,-2.5223265850177503,-2.0964034020425832,-1.714771816258398,-0.4445536860880803,1.9281639158027866,1.8887418995594756,1.4599734595232103,0.6790198668532459
AOA_-20_GUST_20,2.8558604405968233,1.0682186435058847,-3.239674569229274,-2.7551482374952365,-2.3244854665309798,-1.9207942480153135,-0.7757344779941808,1.697936748236805,1.7470524956929334,1.4260227351894041,0.8595598553610565
AOA_-20_GUST_20,2.83567606576053,1.0582881704277096,-3.156711141187449,-2.701605666913178,-2.2887603158251886,-1.9026794316081332,-0.8975819940787659,1.5829127923851372,1.6672988915135862,1.3771905041771886,0.9890373152309522
AOA_-20_GUST_20,2.7064793205373743,1.0235413371971336,-3.0800320020282714,-2.6109062768116527,-2.1804201151014837,-1.805182443748389,-0.9187322468659834,1.4806919361166122,1.5563981353015224,1.2516874679779564,0.937254181532302
AOA_-20_GUST_20,2.5554232895376763,0.9827229557238457,-3.053602123726928,-2.511399489021812,-2.023129965572749,-1.6477013237681057,-0.8552514484838047,1.4072638988739408,1.4563007257266798,1.1279410757357629,0.8165054963542165
AOA_-20_GUST_20,2.320266995211749,0.9086258622636517,-2.8976082469810107,-2.2546464203773366,-1.7029449157771854,-1.354165097799174,-0.6499732713154058,1.4271616170823238,1.4327506874375788,1.0860994064970582,0.7535910603953374
AOA_-20_GUST_20,2.1126828323604387,0.852447547790565,-2.969304725068998,-2.237314366268401,-1.6073534645463012,-1.2556745768482014,-0.5940325656285743,1.305673174650599,1.2643363054984358,0.889219040580988,0.49508026465647054
AOA_-20_GUST_20,1.8700073470856797,0.7760664288991251,-2.818078129579638,-2.0709628188199285,-1.3928678006530846,-1.0631714499923814,-0.44261431353883357,1.2729526931127388,1.1824806716823306,0.7935280367151794,0.3722614063430002
AOA_-20_GUST_20,1.623865215395021,0.6949896732098839,-2.5415351675829467,-1.8826617406403183,-1.1849016012524998,-0.8807683696303117,-0.28457439187381317,1.246377581432687,1.1107513354281275,0.7184907108883256,0.28452474073736755
AOA_-20_GUST_20,1.396961826938657,0.6191200173676292,-2.228895362988002,-1.6652830863550632,-1.000878769490291,-0.7251693020061242,-0.13954745141284375,1.2220087961221826,1.0498863895669104,0.6550578984985224,0.21761897380384798
